model,accuracy,precision,recall,f1,roc_auc,time_s
LogisticRegression,0.8038379530916845,0.649390243902439,0.56951871657754,0.6068376068376068,0.8360662314736684,0.05168938636779785
RandomForest,0.7796730632551528,0.6103448275862069,0.4732620320855615,0.5331325301204819,0.8144170191177765,1.1781868934631348
