threshold,precision,recall
0.005815863477466916,0.26578498293515357,1.0
0.005916331893635961,0.26582278481012656,1.0
0.006018722077120097,0.2658605974395448,1.0
0.006101307703264437,0.2658984208279983,1.0
0.00614197742511135,0.26593625498007967,1.0
0.006209915878710671,0.26597409990038423,1.0
0.0062986242539050195,0.2660119555935098,1.0
0.006311841565176415,0.2660498220640569,1.0
0.006362657513647846,0.2660876993166287,1.0
0.006451379975459066,0.26612558735583086,1.0
0.006460665367772192,0.2661634861862717,1.0
0.0065630212183475905,0.2662013958125623,1.0
0.006616372606938535,0.26623931623931624,1.0
0.006622772530051534,0.2662772474711497,1.0
0.006629426680782037,0.2663151895126817,1.0
0.00680483637633091,0.2663531423685336,1.0
0.00683945899026187,0.26639110604332955,1.0
0.006853403789444297,0.26642908054169634,1.0
0.006853430752941017,0.26646706586826346,1.0
0.0068726602860128515,0.2665050620276629,1.0
0.006881827488993888,0.2665430690245294,1.0
0.006972592206732779,0.26658108686350024,1.0
0.006988569989116268,0.2666191155492154,1.0
0.007008068161529678,0.2666571550863176,1.0
0.007016494024467406,0.2666952054794521,1.0
0.0071501870192917,0.26673326673326675,1.0
0.007232473561308033,0.2667713388524122,1.0
0.007357908223908274,0.26680942184154177,1.0
0.007564613596460147,0.26684751570531123,1.0
0.007575422623826713,0.26688562044837927,1.0
0.007620892281457657,0.26692373607540704,1.0
0.00777830902564628,0.2669618625910584,1.0
0.007819231792462935,0.267,1.0
0.007825444087865431,0.267038148306901,1.0
0.007859036677390055,0.26707630751643324,1.0
0.008054219604786353,0.2671144776332714,1.0
0.008073258381029737,0.26715265866209265,1.0
0.008160907203003467,0.26719085060757686,1.0
0.008173480416216178,0.2672290534744066,1.0
0.008227036670336954,0.2672672672672673,1.0
0.008258091587813142,0.2673054919908467,1.0
0.008277152017664137,0.2673437276498355,1.0
0.00828117429818965,0.267381974248927,1.0
0.008324759750059632,0.26742023179281726,1.0
0.008349522374017355,0.26745850028620494,1.0
0.008407495693622234,0.2674967797337913,1.0
0.008468626632946376,0.26753507014028055,1.0
0.008491481630328264,0.2675733715103794,1.0
0.008494081558991038,0.26761168384879724,1.0
0.008497464542099044,0.26765000716024634,1.0
0.008499440310045252,0.2676883414494414,1.0
0.008544193731345115,0.2677266867211001,1.0
0.008598828209222364,0.2677650429799427,1.0
0.008606514450817159,0.2678034102306921,1.0
0.008701731682717095,0.26784178847807394,1.0
0.008716929485559282,0.26788017772681666,1.0
0.00872748221831009,0.26791857798165136,1.0
0.00877911530051456,0.2679569892473118,1.0
0.008786881653565295,0.26799541152853457,1.0
0.008800578511577437,0.2680338448300588,1.0
0.008812227330893135,0.2680722891566265,1.0
0.008947700139582324,0.26811074451298234,1.0
0.008949329771751273,0.2681492109038737,1.0
0.008966280648655985,0.2681876883340508,1.0
0.009069676824875502,0.2682261768082664,1.0
0.009092627424747222,0.26826467633127604,1.0
0.009095700428357853,0.26830318690783805,1.0
0.00912139832490166,0.26834170854271355,1.0
0.009135643472762573,0.2683802412406663,1.0
0.009159638076255153,0.2684187850064627,1.0
0.00916431044654127,0.2684573398448722,1.0
0.009231660841591998,0.26849590576066656,1.0
0.0092340096653372,0.2685344827586207,1.0
0.009285648063862414,0.268573070843512,1.0
0.00930364203826833,0.2686116700201207,1.0
0.009321489362554235,0.26865028029322985,1.0
0.009322024414534445,0.26868890166762505,1.0
0.009323874635274893,0.2687275341480949,1.0
0.009343316951164842,0.26876617773943057,1.0
0.009345674055158548,0.268804832446426,1.0
0.009362781895459799,0.26884349827387805,1.0
0.009547100864231986,0.2688821752265861,1.0
0.009556010013837084,0.2689208633093525,1.0
0.00955829918081633,0.2689595625269823,1.0
0.009574882550240187,0.26899827288428324,1.0
0.009596757651025092,0.26903699438606593,1.0
0.009636673056644339,0.26907572703714366,1.0
0.009681027601465619,0.2691144708423326,1.0
0.009692460702660551,0.2691532258064516,1.0
0.009703227446688719,0.26919199193432236,1.0
0.009742862614427706,0.2692307692307692,1.0
0.009755997159537564,0.2692695577006195,1.0
0.009758349143928192,0.2693083573487032,1.0
0.009792925559568016,0.269347168179853,1.0
0.009853479822877608,0.2693859901989046,1.0
0.009928230119481503,0.2694248234106963,1.0
0.009934536961735628,0.2694636678200692,1.0
0.009989943858903188,0.2695025234318673,1.0
0.009997336693787362,0.26954139025093743,1.0
0.010019649599792005,0.26958026828212894,1.0
0.010033575087626367,0.2696191575302943,1.0
0.010119613332969915,0.2696580580002886,1.0
0.010122783330800413,0.2696969696969697,1.0
0.010129275191963792,0.2697358926251984,1.0
0.010144879063611098,0.26977482678983833,1.0
0.010154871837343172,0.26981377219575575,1.0
0.0101624783001886,0.2698527288478198,1.0
0.01022145417611003,0.2698916967509025,1.0
0.010310630639624072,0.2699306759098787,1.0
0.010334669657333966,0.2699696663296259,1.0
0.010345646760004473,0.27000866801502454,1.0
0.010362847014543325,0.27004768097095794,1.0
0.010383804769552094,0.27008670520231215,1.0
0.010481911580136479,0.270125740713976,1.0
0.010536121277238719,0.2701647875108413,1.0
0.010545230694367655,0.27020384559780253,1.0
0.010588996025625392,0.2702429149797571,1.0
0.010647230349852533,0.2702819956616052,1.0
0.010669590989358907,0.2703210876482499,1.0
0.01068880216970788,0.2703601909445971,1.0
0.010808888812890953,0.2703993055555556,1.0
0.010814800269151595,0.27043843148603675,1.0
0.010851072459734523,0.27047756874095513,1.0
0.010908342773906943,0.270516717325228,1.0
0.010939515047052864,0.27055587724377533,1.0
0.010967482542199923,0.2705950485015202,1.0
0.010979123936136845,0.27063423110338836,1.0
