strategy,model,accuracy,precision,recall,f1,roc_auc,time_s
baseline,LogisticRegression,0.8038379530916845,0.649390243902439,0.56951871657754,0.6068376068376068,0.8360662314736684,0.056197166442871094
baseline,RandomForest,0.7796730632551528,0.6103448275862069,0.4732620320855615,0.5331325301204819,0.8144170191177765,1.287433385848999
class_weight,LogisticRegression,0.7270788912579957,0.4918032786885246,0.8021390374331551,0.6097560975609756,0.8352871290204017,0.05571770668029785
class_weight,RandomForest,0.7846481876332623,0.6236933797909407,0.4786096256684492,0.5416036308623298,0.8150705851292378,1.3075177669525146
smote,LogisticRegression,0.7299218194740583,0.49491525423728816,0.7807486631016043,0.6058091286307054,0.8341171811503797,0.03170466423034668
smote,RandomForest,0.7746979388770433,0.5772357723577236,0.56951871657754,0.5733512786002691,0.8132121281144686,2.1477484703063965
