name,threshold,precision,recall,f1
high_recall,0.0058158634774669,0.2657849829351535,1.0,0.41995281429019726
balanced,0.5492427426813032,0.5379839298758218,0.7881219903691814,0.6394616887340522
high_precision,1.0,1.0,0.0,0.0
